Categoria,LVL 1,LVL 2
Hogar y Tiempo Libre,Barbacoas,https://www.tiendainglesa.com.uy/supermercado/categoria/hogar-y-tiempo-libre/1005
Hogar y Tiempo Libre,Navidad,https://www.tiendainglesa.com.uy/supermercado/categoria/hogar-y-tiempo-libre/1005
Hogar y Tiempo Libre,Boutique,https://www.tiendainglesa.com.uy/supermercado/categoria/hogar-y-tiempo-libre/1005
Ferretería,Herramientas de mano,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Adhesivos - Selladores - Cintas - Aceites,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Varios,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Herramientas Eléctricas,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Pintura,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Lamparitas - Tubos,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Pilas,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Cajas de herramientas - Gavetas,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Tornillería - Candados,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Linternas,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Escaleras,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Grifería - Sanitaria - Accesorios,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Artículos de Electricidad,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Burletes - Topes - Zócalos,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Ferretería,Hidrolavadoras,https://www.tiendainglesa.com.uy/supermercado/categoria/ferreteria/379
Textiles,Blanquería,https://www.tiendainglesa.com.uy/supermercado/categoria/textiles/1008
Textiles,Marroquinería,https://www.tiendainglesa.com.uy/supermercado/categoria/textiles/1008
Textiles,Zapatería,https://www.tiendainglesa.com.uy/supermercado/categoria/textiles/1008
Textiles,Indumentaria,https://www.tiendainglesa.com.uy/supermercado/categoria/textiles/1008
Bebés,Pañales,https://www.tiendainglesa.com.uy/supermercado/categoria/bebes/529
Bebés,Higiene,https://www.tiendainglesa.com.uy/supermercado/categoria/bebes/529
Bebés,Puré de frutas - Alimentos para bebé,https://www.tiendainglesa.com.uy/supermercado/categoria/bebes/529
Bebés,Artículos varios,https://www.tiendainglesa.com.uy/supermercado/categoria/bebes/529
Papelería,Varios,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Mochilas,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Lápices,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Bolígrafos,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Cuadernos,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Marcadores - Resaltadores - Otros,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Hojas,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Carpetas,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Cartucheras,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
Papelería,Cuadernolas,https://www.tiendainglesa.com.uy/supermercado/categoria/papeleria/4131
