Item,Precio,Precio Oferta,URL
Mermelada LOS NIETITOS Sabor Durazno Pote 250g,$ 75,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-durazno-pote-250g.producto?528,,42"
Refresco GATORADE Sabor Manzana 500 ml,$ 55,0,"https://www.tiendainglesa.com.uy/supermercado/refresco-gatorade-sabor-manzana-500-ml.producto?541,,42"
Sopa Quick de Zapallo Romero y Pimienta KNORR 5 Sobres,$ 147,0,"https://www.tiendainglesa.com.uy/supermercado/sopa-quick-de-zapallo-romero-y-pimienta-knorr-5-sobres.producto?552,,42"
Dulce de Membrillo LOS NIETITOS (Kg),$ 145,$ 116,"https://www.tiendainglesa.com.uy/supermercado/dulce-de-membrillo-los-nietitos-kg.producto?561,,42"
Galleta de Arroz Integral Dulce SAMAN 140 gr,$ 76,0,"https://www.tiendainglesa.com.uy/supermercado/galleta-de-arroz-integral-dulce-saman-140-gr.producto?633,,42"
Queso Blanco Descremado TALAR 220 gr,$ 120,0,"https://www.tiendainglesa.com.uy/supermercado/queso-blanco-descremado-talar-220-gr.producto?672,,42"
Galleta Chiquilín de Chocolate EL TRIGAL 220 gr,$ 126,0,"https://www.tiendainglesa.com.uy/supermercado/galleta-chiquilin-de-chocolate-el-trigal-220-gr.producto?674,,42"
Whisky JOHNNIE WALKER Black Label 1 L,$ 2.350,$ 1.990,"https://www.tiendainglesa.com.uy/supermercado/whisky-johnnie-walker-black-label-1-l.producto?710,,42"
Lentejas LA ABUNDANCIA 450 gr,$ 107,0,"https://www.tiendainglesa.com.uy/supermercado/lentejas-la-abundancia-450-gr.producto?714,,42"
Refresco PEPSI Cola Light 1.5 L,$ 125,0,"https://www.tiendainglesa.com.uy/supermercado/refresco-pepsi-cola-light-1.5-l.producto?716,,42"
Bombón Serenata de Amor GAROTO 20 gr,$ 23,0,"https://www.tiendainglesa.com.uy/supermercado/bombon-serenata-de-amor-garoto-20-gr.producto?769,,42"
Toallas de Cocina TIENDA INGLESA 60 Paños x 2 Rollos,$ 120,0,"https://www.tiendainglesa.com.uy/supermercado/toallas-de-cocina-tienda-inglesa-60-panos-x-2-rollos.producto?796,,42"
Alfajor PORTEZUELO Triple de Chocolate 60 gr,$ 46,0,"https://www.tiendainglesa.com.uy/supermercado/alfajor-portezuelo-triple-de-chocolate-60-gr.producto?803,,42"
Dulce de Leche LOS NIETITOS 500g,$ 149,0,"https://www.tiendainglesa.com.uy/supermercado/dulce-de-leche-los-nietitos-500g.producto?827,,42"
Lustramuebles BLEM Granito y Marmol Naranja en Aerosol 360 cc,$ 345,0,"https://www.tiendainglesa.com.uy/supermercado/lustramuebles-blem-granito-y-marmol-naranja-en-aerosol-360-cc.producto?831,,42"
Detergente AXION Limón en Crema Pote 450 gr,$ 241,0,"https://www.tiendainglesa.com.uy/supermercado/detergente-axion-limon-en-crema-pote-450-gr.producto?854,,42"
Queso Untable Requesón MILKY sin Sal Pote 230 gr,$ 180,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-requeson-milky-sin-sal-pote-230-gr.producto?913,,42"
Pasta de Dientes COLGATE Triple Acción 180 gr,$ 247,0,"https://www.tiendainglesa.com.uy/supermercado/pasta-de-dientes-colgate-triple-accion-180-gr.producto?999,,42"
Whisky WHITE HORSE 1 L,$ 829,$ 789,"https://www.tiendainglesa.com.uy/supermercado/whisky-white-horse-1-l.producto?1025,,42"
Mortadela TIENDA INGLESA (Kg),$ 510,$ 357,"https://www.tiendainglesa.com.uy/supermercado/mortadela-tienda-inglesa-kg.producto?1035,,42"
Bondiola TIENDA INGLESA (Kg),$ 960,$ 672,"https://www.tiendainglesa.com.uy/supermercado/bondiola-tienda-inglesa-kg.producto?1036,,42"
Lomito TIENDA INGLESA Canadiense (Kg),$ 740,$ 518,"https://www.tiendainglesa.com.uy/supermercado/lomito-tienda-inglesa-canadiense-kg.producto?1037,,42"
Salame Milán TIENDA INGLESA (Kg),$ 780,$ 546,"https://www.tiendainglesa.com.uy/supermercado/salame-milan-tienda-inglesa-kg.producto?1038,,42"
Jamón Cocido Cuadrille Extra CATTIVELLI (Kg),$ 1.130,$ 910,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-cuadrille-extra-cattivelli-kg.producto?1064,,42"
Vino VARELA ZARRANZ Tinto Tannat 750 ml,$ 410,0,"https://www.tiendainglesa.com.uy/supermercado/vino-varela-zarranz-tinto-tannat-750-ml.producto?1089,,42"
Arroz Parboiled BLUE PATNA 1 Kg,$ 78,0,"https://www.tiendainglesa.com.uy/supermercado/arroz-parboiled-blue-patna-1-kg.producto?1091,,42"
Cocoa Nestlé VASCOLET 500 gr,$ 261,0,"https://www.tiendainglesa.com.uy/supermercado/cocoa-nestle-vascolet-500-gr.producto?1095,,42"
Alfajor PORTEZUELO Triple de Chocolate Pack x 6 Unidades,$ 247,0,"https://www.tiendainglesa.com.uy/supermercado/alfajor-portezuelo-triple-de-chocolate-pack-x-6-unidades.producto?1100,,42"
Café Soluble BRACAFÉ 100 gr,$ 298,0,"https://www.tiendainglesa.com.uy/supermercado/cafe-soluble-bracafe-100-gr.producto?1103,,42"
Yogur Bebible Light de Durazno BIOTOP 1.2 L,$ 102,0,"https://www.tiendainglesa.com.uy/supermercado/yogur-bebible-light-de-durazno-biotop-1.2-l.producto?1117,,42"
Sandwich de Pan Felipe Integral Relleno con Jamón y Queso TIENDA INGLE...,$ 225,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-pan-felipe-integral-relleno-con-jamon-y-queso-tienda-inglesa-x-1-unidad.producto?1126,,42"
"Empanadas x 9 de Carne, Parmesano y Huevo HAMBY 630 gr",$ 494,0,"https://www.tiendainglesa.com.uy/supermercado/empanadas-x-9-de-carne-parmesano-y-huevo-hamby-630-gr.producto?1129,,42"
Empanadas x 9 de Jamón Cocido y Queso HAMBY 630 gr,$ 494,0,"https://www.tiendainglesa.com.uy/supermercado/empanadas-x-9-de-jamon-cocido-y-queso-hamby-630-gr.producto?1130,,42"
Agua JANE 2 L,$ 148,0,"https://www.tiendainglesa.com.uy/supermercado/agua-jane-2-l.producto?1180,,42"
Bolsas de Residuos Negra TIENDA INGLESA 20 Unidades 48 x 55 cm,$ 67,0,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-negra-tienda-inglesa-20-unidades-48-x-55-cm.producto?1181,,42"
Bolsa de Residuos Negra TIENDA INGLESA 10 Unidades 60 x 75 cm,$ 103,0,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-negra-tienda-inglesa-10-unidades-60-x-75-cm.producto?1184,,42"
Bolsas de Residuos para Jardín TIENDA INGLESA 10 Unidades 70 x 110 cm,$ 172,0,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-para-jardin-tienda-inglesa-10-unidades-70-x-110-cm.producto?1185,,42"
Mermelada LOS NIETITOS sabor Frutilla Pote 500 gr,$ 152,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-frutilla-pote-500-gr.producto?1189,,42"
Whisky BLACK WHITE 1 L,$ 689,$ 659,"https://www.tiendainglesa.com.uy/supermercado/whisky-black-white-1-l.producto?1279,,42"
Jamón Cocido OTTONELLO (Kg),$ 670,$ 540,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-ottonello-kg.producto?1290,,42"
Whisky SOMETHING SPECIAL 1 L,$ 880,$ 779,"https://www.tiendainglesa.com.uy/supermercado/whisky-something-special-1-l.producto?1301,,42"
Postre de Vainilla ROYAL 200 gr,$ 111,$ 96,"https://www.tiendainglesa.com.uy/supermercado/postre-de-vainilla-royal-200-gr.producto?1333,,42"
Whisky CHIVAS REGAL Extra 12 años 1 L,$ 2.350,$ 2.069,"https://www.tiendainglesa.com.uy/supermercado/whisky-chivas-regal-extra-12-anos-1-l.producto?1338,,42"
Postre de Caramelo ROYAL 200 gr,$ 111,$ 96,"https://www.tiendainglesa.com.uy/supermercado/postre-de-caramelo-royal-200-gr.producto?1354,,42"
Salsa Ketchup HEINZ 567 gr,$ 379,0,"https://www.tiendainglesa.com.uy/supermercado/salsa-ketchup-heinz-567-gr.producto?1390,,42"
Mermelada LOS NIETITOS sabor Ciruela pote 250g,$ 80,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-ciruela-pote-250g.producto?1392,,42"
Té LIPTON Yellow Label 20 Sobres,$ 179,0,"https://www.tiendainglesa.com.uy/supermercado/te-lipton-yellow-label-20-sobres.producto?1404,,42"
